exit_date_ny,guardian_R,striker_R,aegis_R,guardian_n_trades,striker_n_trades,aegis_n_trades,cluster
2022-01-04,0.0,-0.14,0.0,0,1,0,0
2022-01-07,0.0,-0.23,0.0,0,1,0,0
2022-01-12,0.0,0.0,-0.0733333333333333,0,0,1,0
2022-01-19,0.0,0.0,0.0,0,0,1,0
2022-01-24,5.941176470588235,0.0,0.0,1,0,0,3
2022-01-28,0.0,0.02,0.0,0,1,0,3
2022-02-01,-0.5588235294117647,0.0,0.0,1,0,0,0
2022-02-04,-0.6176470588235293,-0.31,0.0,1,1,0,3
2022-02-15,10.352941176470589,0.0,0.0,1,0,0,3
2022-02-22,-1.3529411764705883,0.0,0.0,2,0,0,3
2022-02-25,0.0,0.8500000000000001,0.0,0,2,0,3
2022-02-28,0.0,0.0,0.0,0,0,1,0
2022-03-01,0.0,0.0,0.0,0,0,1,1
2022-03-08,17.735294117647058,0.0,0.0,1,0,0,1
2022-03-09,-2.7647058823529407,0.0,0.0,1,0,0,3
2022-03-10,-3.0294117647058822,0.0,0.0,2,0,0,0
2022-03-15,0.0,-0.39,0.0,0,2,0,3
2022-03-18,0.0,-0.26,0.0,0,1,0,3
2022-03-20,0.0,1.12,0.0,0,2,0,0
2022-03-25,0.0,0.01,0.0,0,1,0,0
2022-04-05,-0.8823529411764705,0.0,0.0,1,0,0,3
2022-04-07,-0.5588235294117647,0.0,0.0,1,0,0,0
2022-04-08,0.0,0.01,0.0,0,1,0,0
2022-04-13,0.0,0.0,0.0066666666666666,0,0,1,0
2022-04-19,0.0,0.02,0.0,0,2,0,3
2022-04-24,-1.1470588235294117,0.0,0.0,1,0,0,0
2022-04-25,0.0,0.0,0.0066666666666666,0,0,1,3
2022-05-03,0.0,0.01,0.0,0,1,0,0
2022-05-09,0.0,0.0,0.0,0,0,1,3
2022-05-11,0.0,0.0,-0.02,0,0,1,1
2022-05-23,-0.5882352941176471,0.0,0.0,1,0,0,0
2022-05-27,0.0,-0.01,0.0,0,2,0,0
2022-05-30,-0.5,0.0,0.0,1,0,0,0
2022-05-31,0.0,0.01,0.0,0,1,0,3
2022-06-07,-0.6176470588235293,0.01,0.0,1,1,0,0
2022-06-21,-1.0294117647058822,0.05,0.0,2,1,0,3
2022-06-24,0.0,0.01,0.0,0,1,0,3
2022-07-15,0.0,0.01,0.0,0,1,0,0
2022-07-18,0.0,0.0,0.0,0,0,1,0
2022-07-19,0.0,0.22,0.0,0,4,0,0
2022-07-25,-0.5882352941176471,0.0,0.0,1,0,0,0
2022-07-26,-0.6470588235294117,0.0,0.0,1,0,0,0
2022-07-28,-0.7941176470588235,0.0,0.0,1,0,0,1
2022-07-29,0.0,0.02,0.0,0,2,0,1
2022-08-02,0.0,-0.27,0.0,0,1,0,3
2022-08-10,5.941176470588235,0.0,0.0,1,0,0,1
2022-08-11,-0.6176470588235293,0.0,0.0,1,0,0,0
2022-08-14,0.0,0.48,0.0,0,2,0,0
2022-08-16,0.0,0.6799999999999999,0.0,0,3,0,3
2022-09-02,0.0,0.01,0.0,0,1,0,3
2022-09-07,0.0,0.0,0.0066666666666666,0,0,1,3
2022-09-12,-0.7941176470588235,0.0,0.0,1,0,0,0
2022-09-28,0.0,0.0,0.0066666666666666,0,0,1,1
2022-09-29,-0.9411764705882352,0.0,0.0,1,0,0,3
2022-10-03,0.0,0.0,-0.0866666666666666,0,0,1,1
2022-10-04,0.0,0.01,-0.06,0,1,1,1
2022-10-11,0.0,0.0299999999999999,0.1066666666666666,0,2,1,3
2022-10-12,3.529411764705882,0.0,0.0,1,0,0,0
2022-10-21,0.0,0.02,0.0,0,1,0,1
2022-10-23,0.0,2.47,0.0,0,2,0,2
2022-10-25,-0.9117647058823528,-0.28,0.0,1,1,0,1
2022-10-26,0.0,0.0,0.0,0,0,1,1
2022-10-28,-0.676470588235294,0.0,0.0,1,0,0,3
2022-10-30,0.0,1.39,0.0,0,2,0,0
2022-11-02,-0.5882352941176471,0.0,0.0,1,0,0,3
2022-11-04,0.0,0.05,0.0,0,1,0,1
2022-11-07,-0.7058823529411764,0.0,0.0,1,0,0,0
2022-11-08,0.0,0.15,0.0,0,2,0,1
2022-11-14,0.0,0.0,-0.1333333333333333,0,0,1,3
2022-11-16,-0.8823529411764705,0.0,0.0,1,0,0,0
2022-11-22,0.0,0.01,0.0,0,1,0,0
2022-11-23,0.0,0.0,-0.0333333333333333,0,0,1,1
2022-11-24,-0.6176470588235294,0.0,0.0,2,0,0,0
2022-11-25,0.0,0.0,0.0,0,1,0,0
2022-11-29,-1.2647058823529411,-0.21,0.0,2,1,0,0
2022-12-07,0.0,0.0,0.0066666666666666,0,0,1,1
2022-12-12,-0.7352941176470588,0.0,0.0,1,0,0,3
2022-12-16,0.0,0.01,0.0,0,1,0,1
2022-12-19,-0.5882352941176471,0.0,0.0,1,0,0,3
2022-12-20,0.0,0.05,0.0,0,1,0,1
2022-12-28,-0.5294117647058822,0.0,0.0,1,0,0,3
2023-01-04,7.764705882352941,0.0,0.0,1,0,0,3
2023-01-06,0.0,-0.12,0.0,0,2,0,1
2023-01-09,-1.2352941176470589,0.0,0.0,2,0,0,0
2023-01-10,-0.5588235294117647,0.0,0.0,1,0,0,0
2023-01-11,0.0,0.0,0.1399999999999999,0,0,1,0
2023-01-13,0.0,0.01,0.0,0,1,0,1
2023-01-20,0.0,0.01,0.0,0,1,0,3
2023-01-24,0.0,0.01,0.0,0,1,0,0
2023-01-25,9.529411764705882,0.0,0.0066666666666666,1,0,1,1
2023-01-26,-1.5,0.0,0.0,2,0,0,3
2023-01-27,0.0,-0.18,0.0,0,1,0,0
2023-02-03,0.0,-0.01,0.0,0,1,0,3
2023-02-07,0.0,0.0,0.2799999999999999,0,0,1,1
2023-02-09,-0.5588235294117647,0.0,0.0,1,0,0,3
2023-02-10,0.0,0.01,0.0,0,1,0,1
2023-02-17,0.0,-0.22,0.0,0,1,0,0
2023-02-20,-0.3235294117647058,0.0,0.0,1,0,0,0
2023-03-02,-0.5294117647058822,0.0,0.0,1,0,0,0
2023-03-05,0.0,0.7999999999999999,0.0,0,2,0,0
2023-03-06,0.0,0.0,0.1866666666666666,0,0,1,0
2023-03-07,-0.5882352941176471,0.0,0.0,1,0,0,3
2023-03-08,0.0,0.0,0.2866666666666667,0,0,1,0
2023-03-15,-1.0294117647058822,0.0,0.0,1,0,0,1
2023-03-16,-0.9411764705882352,0.0,0.0,1,0,0,3
2023-03-22,0.0,0.0,0.0,0,0,1,1
2023-03-24,0.0,0.01,0.0,0,1,0,3
2023-03-28,0.0,-0.16,0.0,0,1,1,0
2023-03-29,5.88235294117647,0.0,0.0,1,0,0,3
2023-03-31,0.0,0.22,0.0,0,1,0,0
2023-04-02,-0.7058823529411764,0.0,0.0,1,0,0,0
2023-04-03,-0.6176470588235293,0.0,-0.0666666666666666,1,0,1,1
2023-04-05,0.0,0.0,0.0066666666666666,0,0,1,0
2023-04-11,0.0,0.05,0.0,0,1,0,0
2023-04-14,-0.5588235294117647,0.0,0.0,1,0,0,3
2023-04-20,-0.7352941176470588,0.0,0.0,1,0,0,0
2023-04-21,-0.8823529411764705,0.0,0.0,1,0,0,0
2023-04-24,0.0,0.0,0.0,0,0,1,0
2023-04-25,0.0,0.0,-0.0866666666666666,0,0,1,0
2023-04-28,0.0,0.0999999999999999,0.0,0,3,0,3
2023-05-03,9.117647058823527,0.0,0.0066666666666666,1,0,1,1
2023-05-05,-0.823529411764706,0.0,0.0,1,0,0,3
2023-05-08,-0.5588235294117647,0.0,0.0,1,0,0,0
2023-05-09,-0.5,-0.19,0.0,1,1,0,0
2023-05-10,0.0,0.0,0.0,0,0,1,1
2023-05-22,0.0,0.0,0.1466666666666666,0,0,1,0
2023-05-26,0.0,-0.26,0.0,0,1,0,0
2023-06-02,-0.6470588235294117,0.0,0.0,1,0,0,3
2023-06-04,0.0,1.34,0.0,0,2,0,0
2023-06-05,0.0,0.0,0.0066666666666666,0,0,1,0
2023-06-06,-0.5,-0.16,0.0,1,1,0,0
2023-06-07,-0.676470588235294,0.0,0.0,1,0,0,0
2023-06-09,0.0,0.0,0.0,0,1,0,0
2023-06-27,0.0,0.06,0.0,0,3,0,0
2023-07-03,0.0,0.0,0.2333333333333333,0,0,1,0
2023-07-04,-0.3235294117647058,0.0,0.0,1,0,0,0
2023-07-07,0.0,0.17,0.0,0,1,0,1
2023-07-10,0.0,0.0,0.0066666666666666,0,0,1,0
2023-07-11,0.0,0.0,0.0,0,1,0,0
2023-07-12,0.0,0.0,0.0066666666666666,0,0,1,1
2023-07-18,0.0,0.23,0.0,0,3,0,0
2023-07-21,6.147058823529411,0.0,0.0,1,0,0,3
2023-07-25,0.0,0.0,0.0,0,1,0,0
2023-08-01,0.0,-0.13,0.0,0,1,0,0
2023-08-04,0.0,-0.18,0.0,0,2,0,0
2023-08-11,0.0,0.01,0.0,0,1,0,0
2023-08-18,0.0,-0.16,0.0,0,2,0,0
2023-08-23,0.0,0.0,-0.1066666666666666,0,0,1,0
2023-08-29,0.0,0.01,0.0,0,2,0,0
2023-09-04,6.117647058823529,0.0,0.0,1,0,0,0
2023-09-08,0.0,0.04,0.0,0,1,0,0
2023-09-11,0.0,0.0,0.24,0,0,1,0
2023-09-12,0.0,0.63,0.0,0,2,0,0
2023-09-13,0.0,0.0,0.0,0,0,1,0
2023-09-20,0.0,0.0,0.0,0,0,1,0
2023-09-21,-0.4411764705882352,0.0,0.0,1,0,0,0
2023-10-06,0.0,0.33,0.0,0,1,0,3
2023-10-10,0.0,0.03,0.0,0,2,0,0
2023-10-13,10.529411764705882,0.0,0.0,1,0,0,0
2023-10-16,-0.676470588235294,0.0,0.0,1,0,0,0
2023-10-17,-0.7941176470588235,-0.21,0.0,1,2,0,0
2023-10-20,10.588235294117649,0.0,0.0,1,0,0,0
2023-10-23,-0.7352941176470588,0.0,0.0,1,0,0,0
2023-10-31,0.0,0.03,0.0,0,1,0,3
2023-11-01,0.0,0.0,0.0,0,0,1,0
2023-11-03,0.0,0.05,0.0,0,1,0,0
2023-11-06,1.8235294117647056,0.0,0.0,1,0,0,0
2023-11-07,0.0,-0.01,0.0,0,2,0,0
2023-11-13,0.0,0.0,0.1133333333333333,0,0,1,0
2023-11-14,0.0,0.02,0.0,0,1,1,1
2023-11-21,5.61764705882353,0.0,0.0,2,0,0,0
2023-11-23,-0.2941176470588235,0.0,0.0,1,0,0,0
2023-11-24,0.0,0.0,0.0,0,1,0,0
2023-11-27,-0.5294117647058822,0.0,0.0,1,0,0,0
2023-11-28,0.0,0.05,0.0,0,1,0,1
2023-12-01,0.0,0.01,0.0,0,1,0,1
2023-12-03,9.411764705882351,0.0,0.0,1,0,0,2
2023-12-14,-1.3235294117647056,0.0,0.0,2,0,0,0
2023-12-19,0.0,0.09,0.0,0,2,0,3
2023-12-27,0.0,0.0,-0.0666666666666666,0,0,1,0
2024-01-02,5.147058823529411,0.0,0.0,1,1,0,0
2024-01-05,0.0,0.25,0.0,0,1,0,1
2024-01-08,0.0,0.0,-0.06,0,0,1,0
2024-01-15,-0.3529411764705882,0.0,0.08,1,0,1,0
2024-01-24,-0.5588235294117647,0.0,0.0,1,0,0,0
2024-01-26,0.0,-0.09,0.0,0,2,0,0
2024-01-30,0.0,0.04,0.0,0,1,0,0
2024-01-31,-0.5,0.0,0.0,1,0,0,1
2024-02-02,-0.676470588235294,0.0,0.0,1,0,0,3
2024-02-07,0.0,0.0,0.1666666666666666,0,0,1,0
2024-02-14,0.0,0.0,0.0,0,0,1,0
2024-02-20,-0.411764705882353,0.0,0.0,1,1,0,0
2024-02-23,-0.3529411764705882,0.0,0.0,1,0,0,0
2024-02-28,-0.411764705882353,0.0,0.0,1,0,0,0
2024-03-01,-0.4705882352941176,0.0,0.0,1,1,0,0
2024-03-08,0.0,-0.18,0.0,0,1,0,1
2024-03-12,0.0,0.01,0.0,0,1,0,3
2024-03-13,0.0,0.0,0.0,0,0,1,0
2024-03-18,4.5,0.0,0.0,1,0,0,0
2024-03-19,0.0,0.61,0.0,0,2,0,3
2024-03-21,-0.6470588235294117,0.0,0.0,1,0,0,3
2024-04-05,0.0,0.11,0.0,0,2,0,0
2024-04-07,11.705882352941176,0.0,0.0,1,0,0,0
2024-04-10,-0.9117647058823528,0.0,0.0,1,0,0,3
2024-04-11,-0.7941176470588235,0.0,0.0,1,0,0,0
2024-04-15,-0.9117647058823528,0.0,0.0,1,0,1,3
2024-04-16,-0.8529411764705881,0.0,0.0,1,0,0,0
2024-04-17,-1.1176470588235294,0.0,-0.0133333333333333,1,0,1,0
2024-04-18,-0.9705882352941176,0.0,0.0,1,0,0,0
2024-04-21,-1.088235294117647,0.0,0.0,1,0,0,0
2024-04-23,0.0,0.01,0.0,0,1,0,0
2024-04-26,0.0,-0.4,0.0,0,2,0,3
2024-04-29,-0.7941176470588235,0.0,0.0,1,0,0,1
2024-05-01,0.0,0.0,0.0,0,0,1,1
2024-05-07,-1.588235294117647,0.0,0.0,2,1,0,0
2024-05-19,15.558823529411764,0.0,0.0,1,0,0,0
2024-05-21,-0.6470588235294117,0.0,0.0,1,1,0,0
2024-05-24,0.0,-0.18,0.0,0,1,0,0
2024-05-29,-0.6470588235294117,0.0,0.0,1,0,0,3
2024-06-03,0.0,0.0,0.0,0,0,1,1
2024-06-04,0.0,-0.01,0.1733333333333333,0,1,1,0
2024-06-07,-0.6470588235294117,0.08,0.0,1,1,0,3
2024-06-17,-0.6470588235294117,0.0,-0.0133333333333333,1,0,1,0
2024-06-18,-0.5294117647058822,0.0,0.0,1,0,0,0
2024-06-21,0.0,0.01,0.0,0,1,0,3
2024-06-27,-0.5588235294117647,0.0,0.0,1,0,0,0
2024-07-02,-0.7941176470588235,0.0,0.0,1,0,0,0
2024-07-03,0.0,0.0,0.2266666666666666,0,0,1,0
2024-07-08,0.0,0.0,0.0,0,0,1,0
2024-07-09,0.0,0.19,0.0,0,1,0,0
2024-07-11,11.558823529411764,0.0,0.0,1,0,0,1
2024-07-12,0.0,0.31,0.0,0,3,0,1
2024-07-15,0.0,0.0,-0.0066666666666666,0,0,1,0
2024-07-16,0.0,0.24,0.0,0,2,0,0
2024-07-17,0.0,0.0,0.0066666666666666,0,0,1,1
2024-07-19,-0.7058823529411764,0.0,0.0,1,0,0,3
2024-07-23,0.0,0.0,0.0,0,0,1,0
2024-07-26,0.0,0.11,0.0,0,2,0,1
2024-07-30,-0.4705882352941176,0.0,0.0,1,0,0,1
2024-08-06,0.0,0.02,0.0,0,1,0,1
2024-08-07,0.0,0.0,0.3066666666666667,0,0,1,3
2024-08-13,0.0,0.01,0.0,0,1,0,0
2024-08-16,0.0,0.0,0.0,0,1,0,1
2024-08-21,0.0,0.0,0.0133333333333333,0,0,1,0
2024-08-23,0.0,-0.24,0.0,0,1,0,1
2024-08-27,0.0,0.0,0.0,0,0,1,0
2024-08-28,6.411764705882353,0.0,0.0,1,0,0,3
2024-08-30,-0.7352941176470588,0.0,0.0,1,0,0,3
2024-09-02,0.0,0.0,-0.0066666666666666,0,0,1,0
2024-09-04,0.0,0.0,-0.04,0,0,1,1
2024-09-05,-0.7352941176470588,0.0,0.0,1,0,0,0
2024-09-06,-0.676470588235294,0.0,0.0,1,0,0,1
2024-09-11,-0.6470588235294117,0.0,0.0,1,0,0,3
2024-09-13,0.0,-0.1999999999999999,0.0,0,3,0,0
2024-09-17,-0.7352941176470588,-0.17,0.0,1,1,0,3
2024-09-18,-0.7058823529411764,0.0,0.0,1,0,0,3
2024-09-20,0.0,0.01,0.0,0,1,0,3
2024-09-23,0.0,0.0,-0.04,0,0,1,0
2024-09-27,0.0,0.36,0.0,0,1,0,1
2024-10-02,8.647058823529411,0.0,0.0,1,0,0,3
2024-10-11,0.0,0.0699999999999999,0.0,0,2,0,0
2024-10-14,-0.4705882352941176,0.0,0.0,1,0,0,0
2024-10-18,0.0,0.0,0.0,0,1,0,0
2024-10-22,0.0,0.01,0.0,0,2,0,0
2024-10-23,11.441176470588236,0.0,0.0,1,0,0,3
2024-10-31,-0.4411764705882352,0.0,0.0,1,0,0,3
2024-11-01,0.0,-0.26,0.0,0,1,0,3
2024-11-05,0.0,0.24,-0.0066666666666666,0,1,1,0
2024-11-08,0.0,0.21,0.0,0,1,0,0
2024-11-12,0.0,-0.22,0.0,0,1,0,3
2024-11-19,0.0,0.01,0.0,0,1,0,0
2024-11-20,0.0,0.0,-0.04,0,0,1,0
2024-11-21,-0.6176470588235293,0.0,0.0,1,0,0,1
2024-11-22,0.0,-0.22,0.0,0,1,0,0
2024-11-24,-0.7058823529411764,0.0,0.0,1,0,0,0
2024-11-27,0.0,0.0,0.0133333333333333,0,0,1,1
2024-11-29,0.0,0.19,0.0,0,2,0,1
2024-12-04,-0.7647058823529411,0.0,-0.02,1,0,1,0
2024-12-05,-0.5882352941176471,0.0,0.0,1,0,0,0
2024-12-10,0.0,0.0,0.0,0,1,0,0
2024-12-17,0.0,0.0,0.1533333333333333,0,0,1,0
2024-12-20,0.0,1.48,0.0,0,2,0,1
2024-12-23,0.0,0.0,0.0866666666666666,0,0,1,0
2024-12-24,0.0,-0.09,0.0,0,2,0,0
2024-12-26,-0.3529411764705882,0.0,0.0,1,0,0,0
2024-12-27,-0.411764705882353,0.0,0.0,1,0,0,0
2025-01-05,-0.5588235294117647,0.0,0.0,1,0,0,0
2025-01-17,6.911764705882352,0.0,0.0,1,2,0,0
2025-01-20,-0.5882352941176471,0.0,0.0,1,0,0,0
2025-01-28,0.0,0.01,0.0,0,1,0,0
2025-01-31,11.470588235294116,0.0,0.0,1,0,0,3
2025-02-03,0.0,0.0,0.2466666666666666,0,0,1,1
2025-02-05,0.0,0.0,0.0066666666666666,0,0,1,1
2025-02-07,0.0,-0.47,0.0,0,1,0,3
2025-02-11,0.0,0.05,0.0,0,1,0,3
2025-02-19,0.0,0.0,-0.0066666666666666,0,0,1,0
2025-02-20,8.058823529411763,0.0,0.0,2,0,0,1
2025-02-24,0.0,0.0,-0.0266666666666666,0,0,1,0
2025-02-25,-0.7647058823529411,0.0,0.0,1,0,0,3
2025-02-26,0.0,0.0,-0.0333333333333333,0,0,1,0
2025-03-03,0.0,0.0,0.0066666666666666,0,0,1,1
2025-03-04,-0.8823529411764705,0.0,0.0,1,0,0,3
2025-03-06,-0.7352941176470588,0.0,0.0,1,0,0,1
2025-03-10,0.0,0.0,0.1933333333333333,0,0,1,3
2025-03-12,0.0,0.0,-0.0333333333333333,0,0,1,3
2025-03-14,0.0,0.06,0.0,0,1,0,0
2025-03-17,9.911764705882351,0.0,0.0,1,0,0,0
2025-03-18,0.0,0.0,0.0,0,0,1,0
2025-03-21,-0.7647058823529411,0.01,0.0,1,1,0,3
2025-04-01,0.0,0.13,0.0,0,1,0,0
2025-04-04,-0.7647058823529411,0.0,0.0,1,0,0,2
2025-04-08,0.0,0.0,-0.0466666666666666,0,0,1,1
2025-04-16,0.0,0.0,-0.0066666666666666,0,0,1,1
2025-04-21,27.14705882352941,0.0,0.1666666666666666,1,0,1,1
2025-04-22,0.0,0.06,0.0,0,2,0,2
2025-04-28,0.0,0.0,-0.0866666666666666,0,0,1,1
2025-04-29,0.0,-0.32,0.0,0,1,0,0
2025-05-02,0.0,-0.29,0.0,0,1,0,1
2025-05-06,-1.0294117647058822,0.0,0.0,1,0,0,1
2025-05-08,-0.9411764705882352,0.0,0.0,1,0,0,3
2025-05-13,0.0,0.0,0.0066666666666666,0,0,1,0
2025-05-16,0.0,0.39,0.0,0,2,0,3
2025-05-19,-1.0588235294117645,0.0,0.0,1,0,0,0
2025-05-21,0.0,0.0,0.2133333333333333,0,0,1,1
2025-05-22,-1.088235294117647,0.0,0.0,1,0,0,3
2025-05-26,0.0,0.0,0.0,0,0,1,0
2025-05-27,0.0,0.1699999999999999,0.0,0,2,0,3
2025-06-02,0.0,0.0,0.0,0,0,1,1
2025-06-03,0.0,0.3399999999999999,0.0,0,2,0,3
2025-06-04,-0.7058823529411764,0.0,-0.0066666666666666,1,0,1,1
2025-06-16,-1.088235294117647,0.0,0.1666666666666666,1,0,1,3
2025-06-17,-0.7647058823529411,0.0,0.0,1,0,0,0
2025-06-23,-0.8823529411764705,0.0,-0.02,1,0,1,3
2025-06-25,0.0,0.0,-0.02,0,0,1,0
2025-06-27,0.0,0.91,0.0,0,3,0,0
2025-07-01,0.0,0.8200000000000001,0.0,0,2,0,0
2025-07-09,0.0,0.0,0.0,0,0,1,0
2025-07-10,-1.2647058823529411,0.0,0.0,2,0,0,0
2025-07-21,0.0,0.0,-0.0333333333333333,0,0,1,0
2025-08-05,-0.5588235294117647,0.0,0.0,1,0,0,0
2025-08-07,-0.7058823529411764,0.0,0.0,1,0,0,0
2025-08-08,-0.9117647058823528,0.0,0.0,1,0,0,0
2025-08-12,0.0,0.01,0.0,0,1,0,0
2025-08-19,0.0,-0.15,0.0,0,1,1,0
2025-08-20,0.0,0.0,-0.0133333333333333,0,0,1,0
2025-08-21,-0.5,0.0,0.0,1,0,0,0
2025-08-22,0.0,0.02,0.0,0,1,0,1
2025-08-25,-0.3235294117647058,0.0,0.0,1,0,0,0
2025-08-26,-0.5294117647058822,0.0,0.16,1,0,1,0
2025-08-27,0.0,0.0,-0.0066666666666666,0,0,1,0
2025-09-01,10.705882352941176,0.0,0.0,1,0,0,0
2025-09-03,0.0,0.0,-0.0266666666666666,0,0,1,0
2025-09-09,14.352941176470589,-0.16,0.0,2,1,0,0
2025-09-10,0.0,0.0,0.0,0,0,1,0
2025-09-22,10.38235294117647,0.0,0.0,1,0,1,0
2025-09-23,-0.7941176470588235,-0.11,0.0,1,1,1,0
2025-09-30,-0.6470588235294117,0.0,0.0,1,0,0,0
2025-10-03,0.0,0.41,0.0,0,2,0,0
2025-10-13,18.5,0.0,0.0,1,0,0,0
2025-10-14,-0.8529411764705881,1.4,0.0,1,2,1,1
2025-10-20,0.0,0.0,0.0,0,0,1,1
2025-10-21,-1.352941176470588,0.27,0.0,1,1,0,3
2025-10-22,0.0,0.0,0.12,0,0,1,3
2025-10-24,0.0,-0.16,0.0,0,1,0,0
2025-11-03,-2.0294117647058822,0.0,0.08,2,0,1,0
2025-11-04,0.0,0.1,0.0,0,1,0,0
2025-11-06,-0.6470588235294117,0.0,0.0,1,0,0,0
2025-11-11,0.0,0.28,0.0,0,2,0,0
2025-11-12,0.0,0.0,0.1399999999999999,0,0,1,0
2025-11-13,16.823529411764703,0.0,0.0,2,0,0,3
2025-11-14,0.0,0.01,0.0,0,1,0,3
2025-11-21,0.0,0.4499999999999999,0.0,0,2,0,1
2025-11-25,0.0,0.01,0.0,0,1,1,0
2025-11-26,0.0,1.28,0.0,0,2,0,0
2025-11-28,0.0,0.03,0.0,0,1,0,0
2025-12-02,0.0,-0.24,0.0,0,1,0,0
2025-12-03,0.0,0.0,0.0,0,0,1,0
2025-12-05,0.0,-0.14,0.0,0,1,0,0
2025-12-08,3.8235294117647056,0.0,0.0,1,0,0,0
2025-12-09,-0.676470588235294,0.07,0.0,1,1,0,0
2025-12-10,-0.823529411764706,0.0,0.0,1,0,1,0
2025-12-17,0.0,0.0,-0.0133333333333333,0,0,1,0
2025-12-21,12.52941176470588,0.0,0.0,1,0,0,0
2025-12-23,0.0,0.03,0.0,0,1,0,0
2025-12-24,-1.0294117647058822,0.0,0.1066666666666666,1,0,1,0
2026-01-05,-0.823529411764706,0.0,0.0,1,0,0,1
2026-01-06,0.0,0.74,0.0,0,3,0,0
2026-01-09,0.0,0.01,0.0,0,1,0,0
2026-01-18,15.264705882352942,0.0,0.0,1,0,0,2
2026-01-20,10.470588235294118,-0.23,0.0,1,1,0,0
2026-01-22,-0.7647058823529411,0.0,0.0,1,0,0,1
2026-01-25,15.352941176470589,0.0,0.0,1,0,0,1
2026-01-26,-2.5588235294117645,0.0,0.0,2,0,0,1
2026-01-27,-1.4117647058823528,0.0,0.0066666666666666,1,0,1,1
2026-01-28,26.08823529411764,0.0,0.0,1,0,0,1
2026-01-29,-5.735294117647058,0.0,0.0,2,0,0,2
2026-02-06,0.0,0.01,0.0,0,1,0,1
2026-02-09,0.0,1.12,0.0,0,2,0,1
2026-02-10,0.0,0.22,0.0,0,1,0,1
2026-02-11,0.0,0.0,0.0133333333333333,0,0,1,1
2026-02-12,-1.9705882352941175,0.0,0.0,2,0,0,3
2026-02-13,0.0,0.01,0.0,0,1,0,1
2026-02-19,-0.9117647058823528,0.0,0.0,1,0,0,0
2026-02-23,0.0,0.0,0.0,0,0,1,3
2026-02-25,0.0,0.0,0.0,0,0,1,0
2026-03-01,22.14705882352941,0.0,0.0,1,0,0,2
2026-03-03,-1.852941176470588,0.0,0.0,1,0,1,2
2026-03-09,0.0,0.0,0.1533333333333333,0,0,1,1
2026-03-10,0.0,0.01,0.1266666666666666,0,1,1,0
2026-03-12,-0.7058823529411764,0.0,0.0,1,0,0,3
2026-03-16,0.0,0.0,0.1466666666666666,0,0,1,0
2026-03-24,0.0,-0.38,0.0,0,1,0,1
2026-03-30,-1.8823529411764703,0.0,0.0,1,0,0,1
2026-03-31,0.0,0.0,0.0,0,1,0,1
2026-04-05,-2.117647058823529,0.0,0.0,1,0,0,3
2026-04-06,-1.3823529411764703,0.0,0.0,1,0,0,0
2026-04-13,0.0,0.0,0.0866666666666666,0,0,1,0
2026-04-15,0.0,0.0,0.12,0,0,1,0
2026-04-17,0.0,0.41,0.0,0,2,0,1
2026-04-20,10.852941176470589,0.0,0.0,1,0,0,-1
