exit_date_ny,total_pnl_R,n_trades,n_strategies,any_adverse_today,adverse_windows_today
2022-01-04,-0.14,1,1,0,0
2022-01-07,-0.23,1,1,0,0
2022-01-12,-0.07333333333333333,1,1,1,1
2022-01-19,0.0,1,1,0,0
2022-01-24,5.941176470588235,1,1,1,2
2022-01-28,0.02,1,1,0,0
2022-02-01,-0.5588235294117647,1,1,0,0
2022-02-04,-0.9276470588235293,2,2,0,0
2022-02-15,10.352941176470587,1,1,0,0
2022-02-22,-1.3529411764705883,2,1,0,0
2022-02-25,0.8500000000000001,2,1,0,0
2022-02-28,0.0,1,1,1,1
2022-03-01,0.0,1,1,0,0
2022-03-08,17.735294117647058,1,1,0,0
2022-03-09,-2.7647058823529407,1,1,0,0
2022-03-10,-3.0294117647058822,2,1,0,0
2022-03-15,-0.39,2,1,0,0
2022-03-18,-0.26,1,1,0,0
2022-03-20,1.12,2,1,0,0
2022-03-25,0.01,1,1,0,0
2022-04-05,-0.8823529411764705,1,1,0,0
2022-04-07,-0.5588235294117647,1,1,0,0
2022-04-08,0.01,1,1,0,0
2022-04-13,0.006666666666666667,1,1,0,0
2022-04-19,0.02,2,1,0,0
2022-04-24,-1.1470588235294117,1,1,0,0
2022-04-25,0.006666666666666667,1,1,1,1
2022-05-03,0.01,1,1,0,0
2022-05-09,0.0,1,1,1,1
2022-05-11,-0.02,1,1,0,0
2022-05-23,-0.5882352941176471,1,1,0,0
2022-05-27,-0.01,2,1,0,0
2022-05-30,-0.5,1,1,0,0
2022-05-31,0.01,1,1,0,0
2022-06-07,-0.6076470588235293,2,2,0,0
2022-06-21,-0.9794117647058822,3,2,0,0
2022-06-24,0.01,1,1,0,0
2022-07-15,0.01,1,1,0,0
2022-07-18,0.0,1,1,0,0
2022-07-19,0.22,4,1,0,0
2022-07-25,-0.5882352941176471,1,1,0,0
2022-07-26,-0.6470588235294117,1,1,0,0
2022-07-28,-0.7941176470588235,1,1,0,0
2022-07-29,0.02,2,1,0,0
2022-08-02,-0.27,1,1,0,0
2022-08-10,5.941176470588235,1,1,0,0
2022-08-11,-0.6176470588235293,1,1,0,0
2022-08-14,0.48,2,1,0,0
2022-08-16,0.6799999999999999,3,1,0,0
2022-09-02,0.01,1,1,0,0
2022-09-07,0.006666666666666667,1,1,0,0
2022-09-12,-0.7941176470588235,1,1,0,0
2022-09-28,0.006666666666666667,1,1,0,0
2022-09-29,-0.9411764705882353,1,1,0,0
2022-10-03,-0.08666666666666667,1,1,0,0
2022-10-04,-0.049999999999999996,2,2,0,0
2022-10-11,0.13666666666666666,3,2,0,0
2022-10-12,3.529411764705882,1,1,0,0
2022-10-21,0.02,1,1,0,0
2022-10-23,2.47,2,1,0,0
2022-10-25,-1.191764705882353,2,2,0,0
2022-10-26,0.0,1,1,0,0
2022-10-28,-0.676470588235294,1,1,0,0
2022-10-30,1.39,2,1,0,0
2022-11-02,-0.5882352941176471,1,1,0,0
2022-11-04,0.05,1,1,0,0
2022-11-07,-0.7058823529411764,1,1,0,0
2022-11-08,0.15000000000000002,2,1,0,0
2022-11-14,-0.13333333333333333,1,1,0,0
2022-11-16,-0.8823529411764705,1,1,0,0
2022-11-22,0.01,1,1,0,0
2022-11-23,-0.03333333333333333,1,1,0,0
2022-11-24,-0.6176470588235294,2,1,0,0
2022-11-25,0.0,1,1,0,0
2022-11-29,-1.474705882352941,3,2,0,0
2022-12-07,0.006666666666666667,1,1,0,0
2022-12-12,-0.7352941176470588,1,1,0,0
2022-12-16,0.01,1,1,0,0
2022-12-19,-0.5882352941176471,1,1,0,0
2022-12-20,0.05,1,1,0,0
2022-12-28,-0.5294117647058822,1,1,0,0
2023-01-04,7.764705882352941,1,1,0,0
2023-01-06,-0.12,2,1,0,0
2023-01-09,-1.2352941176470587,2,1,0,0
2023-01-10,-0.5588235294117647,1,1,0,0
2023-01-11,0.13999999999999999,1,1,0,0
2023-01-13,0.01,1,1,0,0
2023-01-20,0.01,1,1,0,0
2023-01-24,0.01,1,1,0,0
2023-01-25,9.536078431372548,2,2,0,0
2023-01-26,-1.5,2,1,0,0
2023-01-27,-0.18,1,1,0,0
2023-02-03,-0.01,1,1,0,0
2023-02-07,0.27999999999999997,1,1,0,0
2023-02-09,-0.5588235294117647,1,1,0,0
2023-02-10,0.01,1,1,0,0
2023-02-17,-0.22,1,1,0,0
2023-02-20,-0.32352941176470584,1,1,0,0
2023-03-02,-0.5294117647058822,1,1,0,0
2023-03-05,0.7999999999999999,2,1,0,0
2023-03-06,0.18666666666666668,1,1,0,0
2023-03-07,-0.5882352941176471,1,1,0,0
2023-03-08,0.2866666666666667,1,1,0,0
2023-03-15,-1.0294117647058822,1,1,0,0
2023-03-16,-0.9411764705882353,1,1,0,0
2023-03-22,0.0,1,1,1,1
2023-03-24,0.01,1,1,1,1
2023-03-28,-0.16,2,2,0,0
2023-03-29,5.88235294117647,1,1,0,0
2023-03-31,0.22,1,1,0,0
2023-04-02,-0.7058823529411764,1,1,0,0
2023-04-03,-0.684313725490196,2,2,0,0
2023-04-05,0.006666666666666667,1,1,0,0
2023-04-11,0.05,1,1,0,0
2023-04-14,-0.5588235294117647,1,1,0,0
2023-04-20,-0.7352941176470588,1,1,0,0
2023-04-21,-0.8823529411764705,1,1,0,0
2023-04-24,0.0,1,1,0,0
2023-04-25,-0.08666666666666667,1,1,0,0
2023-04-28,0.09999999999999998,3,1,0,0
2023-05-03,9.124313725490195,2,2,0,0
2023-05-05,-0.823529411764706,1,1,0,0
2023-05-08,-0.5588235294117647,1,1,0,0
2023-05-09,-0.69,2,2,0,0
2023-05-10,0.0,1,1,0,0
2023-05-22,0.14666666666666667,1,1,0,0
2023-05-26,-0.26,1,1,0,0
2023-06-02,-0.6470588235294117,1,1,0,0
2023-06-04,1.3399999999999999,2,1,0,0
2023-06-05,0.006666666666666667,1,1,0,0
2023-06-06,-0.66,2,2,0,0
2023-06-07,-0.676470588235294,1,1,0,0
2023-06-09,0.0,1,1,0,0
2023-06-27,0.06,3,1,0,0
2023-07-03,0.2333333333333333,1,1,0,0
2023-07-04,-0.32352941176470584,1,1,0,0
2023-07-07,0.17,1,1,0,0
2023-07-10,0.006666666666666667,1,1,0,0
2023-07-11,0.0,1,1,0,0
2023-07-12,0.006666666666666667,1,1,0,0
2023-07-18,0.23,3,1,0,0
2023-07-21,6.147058823529411,1,1,0,0
2023-07-25,0.0,1,1,0,0
2023-08-01,-0.13,1,1,0,0
2023-08-04,-0.18,2,1,0,0
2023-08-11,0.01,1,1,0,0
2023-08-18,-0.16,2,1,0,0
2023-08-23,-0.10666666666666667,1,1,1,1
2023-08-29,0.01,2,1,0,0
2023-09-04,6.117647058823529,1,1,0,0
2023-09-08,0.04,1,1,0,0
2023-09-11,0.24,1,1,0,0
2023-09-12,0.63,2,1,0,0
2023-09-13,0.0,1,1,0,0
2023-09-20,0.0,1,1,0,0
2023-09-21,-0.4411764705882352,1,1,0,0
2023-10-06,0.33,1,1,0,0
2023-10-10,0.03,2,1,0,0
2023-10-13,10.529411764705882,1,1,0,0
2023-10-16,-0.676470588235294,1,1,0,0
2023-10-17,-1.0041176470588236,3,2,0,0
2023-10-20,10.588235294117647,1,1,0,0
2023-10-23,-0.7352941176470588,1,1,0,0
2023-10-31,0.03,1,1,0,0
2023-11-01,0.0,1,1,0,0
2023-11-03,0.05,1,1,0,0
2023-11-06,1.8235294117647058,1,1,0,0
2023-11-07,-0.010000000000000009,2,1,0,0
2023-11-13,0.11333333333333334,1,1,0,0
2023-11-14,0.02,2,2,0,0
2023-11-21,5.61764705882353,2,1,0,0
2023-11-23,-0.29411764705882354,1,1,0,0
2023-11-24,0.0,1,1,0,0
2023-11-27,-0.5294117647058822,1,1,0,0
2023-11-28,0.05,1,1,0,0
2023-12-01,0.01,1,1,0,0
2023-12-03,9.411764705882353,1,1,0,0
2023-12-14,-1.3235294117647056,2,1,0,0
2023-12-19,0.09,2,1,0,0
2023-12-27,-0.06666666666666667,1,1,0,0
2024-01-02,5.147058823529411,2,2,0,0
2024-01-05,0.25,1,1,0,0
2024-01-08,-0.06,1,1,0,0
2024-01-15,-0.2729411764705882,2,2,0,0
2024-01-24,-0.5588235294117647,1,1,0,0
2024-01-26,-0.09,2,1,0,0
2024-01-30,0.04,1,1,0,0
2024-01-31,-0.5,1,1,0,0
2024-02-02,-0.676470588235294,1,1,0,0
2024-02-07,0.16666666666666666,1,1,0,0
2024-02-14,0.0,1,1,0,0
2024-02-20,-0.411764705882353,2,2,0,0
2024-02-23,-0.3529411764705882,1,1,0,0
2024-02-28,-0.411764705882353,1,1,0,0
2024-03-01,-0.47058823529411764,2,2,0,0
2024-03-08,-0.18,1,1,0,0
2024-03-12,0.01,1,1,0,0
2024-03-13,0.0,1,1,0,0
2024-03-18,4.5,1,1,0,0
2024-03-19,0.61,2,1,0,0
2024-03-21,-0.6470588235294117,1,1,0,0
2024-04-05,0.11,2,1,0,0
2024-04-07,11.705882352941176,1,1,0,0
2024-04-10,-0.9117647058823529,1,1,0,0
2024-04-11,-0.7941176470588235,1,1,0,0
2024-04-15,-0.9117647058823529,2,2,1,1
2024-04-16,-0.8529411764705881,1,1,1,1
2024-04-17,-1.1309803921568629,2,2,1,1
2024-04-18,-0.9705882352941176,1,1,0,0
2024-04-21,-1.088235294117647,1,1,0,0
2024-04-23,0.01,1,1,0,0
2024-04-26,-0.4,2,1,0,0
2024-04-29,-0.7941176470588235,1,1,0,0
2024-05-01,0.0,1,1,0,0
2024-05-07,-1.588235294117647,3,2,0,0
2024-05-19,15.558823529411764,1,1,0,0
2024-05-21,-0.6470588235294117,2,2,0,0
2024-05-24,-0.18,1,1,0,0
2024-05-29,-0.6470588235294117,1,1,0,0
2024-06-03,0.0,1,1,0,0
2024-06-04,0.16333333333333333,2,2,1,1
2024-06-07,-0.5670588235294117,2,2,0,0
2024-06-17,-0.660392156862745,2,2,0,0
2024-06-18,-0.5294117647058822,1,1,0,0
2024-06-21,0.01,1,1,0,0
2024-06-27,-0.5588235294117647,1,1,0,0
2024-07-02,-0.7941176470588235,1,1,0,0
2024-07-03,0.22666666666666668,1,1,0,0
2024-07-08,0.0,1,1,0,0
2024-07-09,0.19,1,1,0,0
2024-07-11,11.558823529411764,1,1,0,0
2024-07-12,0.31,3,1,0,0
2024-07-15,-0.006666666666666667,1,1,0,0
2024-07-16,0.24000000000000002,2,1,0,0
2024-07-17,0.006666666666666667,1,1,1,1
2024-07-19,-0.7058823529411764,1,1,0,0
2024-07-23,0.0,1,1,0,0
2024-07-26,0.11,2,1,0,0
2024-07-30,-0.47058823529411764,1,1,0,0
2024-08-06,0.02,1,1,1,4
2024-08-07,0.3066666666666667,1,1,1,1
2024-08-13,0.01,1,1,1,1
2024-08-16,0.0,1,1,0,0
2024-08-21,0.013333333333333334,1,1,0,0
2024-08-23,-0.24,1,1,0,0
2024-08-27,0.0,1,1,0,0
2024-08-28,6.411764705882353,1,1,0,0
2024-08-30,-0.7352941176470588,1,1,0,0
2024-09-02,-0.006666666666666667,1,1,0,0
2024-09-04,-0.04,1,1,1,2
2024-09-05,-0.7352941176470588,1,1,1,1
2024-09-06,-0.676470588235294,1,1,1,1
2024-09-11,-0.6470588235294117,1,1,1,1
2024-09-13,-0.19999999999999998,3,1,1,1
2024-09-17,-0.9052941176470588,2,2,0,0
2024-09-18,-0.7058823529411764,1,1,0,0
2024-09-20,0.01,1,1,0,0
2024-09-23,-0.04,1,1,1,1
2024-09-27,0.36,1,1,0,0
2024-10-02,8.647058823529411,1,1,0,0
2024-10-11,0.06999999999999999,2,1,0,0
2024-10-14,-0.47058823529411764,1,1,0,0
2024-10-18,0.0,1,1,0,0
2024-10-22,0.01,2,1,0,0
2024-10-23,11.441176470588236,1,1,1,2
2024-10-31,-0.4411764705882352,1,1,1,1
2024-11-01,-0.26,1,1,0,0
2024-11-05,0.23333333333333334,2,2,0,0
2024-11-08,0.21,1,1,0,0
2024-11-12,-0.22,1,1,0,0
2024-11-19,0.01,1,1,0,0
2024-11-20,-0.04,1,1,0,0
2024-11-21,-0.6176470588235293,1,1,0,0
2024-11-22,-0.22,1,1,0,0
2024-11-24,-0.7058823529411764,1,1,0,0
2024-11-27,0.013333333333333334,1,1,0,0
2024-11-29,0.19,2,1,0,0
2024-12-04,-0.7847058823529411,2,2,0,0
2024-12-05,-0.5882352941176471,1,1,0,0
2024-12-10,0.0,1,1,0,0
2024-12-17,0.15333333333333335,1,1,0,0
2024-12-20,1.48,2,1,0,0
2024-12-23,0.08666666666666667,1,1,0,0
2024-12-24,-0.09,2,1,0,0
2024-12-26,-0.3529411764705882,1,1,0,0
2024-12-27,-0.411764705882353,1,1,0,0
2025-01-05,-0.5588235294117647,1,1,0,0
2025-01-17,6.911764705882352,3,2,0,0
2025-01-20,-0.5882352941176471,1,1,0,0
2025-01-28,0.01,1,1,0,0
2025-01-31,11.470588235294116,1,1,0,0
2025-02-03,0.24666666666666667,1,1,1,2
2025-02-05,0.006666666666666667,1,1,0,0
2025-02-07,-0.47,1,1,1,1
2025-02-11,0.05,1,1,0,0
2025-02-19,-0.006666666666666667,1,1,0,0
2025-02-20,8.058823529411763,2,1,0,0
2025-02-24,-0.02666666666666667,1,1,1,2
2025-02-25,-0.7647058823529411,1,1,1,4
2025-02-26,-0.03333333333333333,1,1,0,0
2025-03-03,0.006666666666666667,1,1,1,1
2025-03-04,-0.8823529411764705,1,1,1,1
2025-03-06,-0.7352941176470588,1,1,1,1
2025-03-10,0.19333333333333333,1,1,1,2
2025-03-12,-0.03333333333333333,1,1,1,1
2025-03-14,0.06,1,1,0,0
2025-03-17,9.911764705882353,1,1,0,0
2025-03-18,0.0,1,1,1,1
2025-03-21,-0.7547058823529411,2,2,0,0
2025-04-01,0.13,1,1,1,1
2025-04-04,-0.7647058823529411,1,1,1,3
2025-04-08,-0.04666666666666667,1,1,1,5
2025-04-16,-0.006666666666666667,1,1,0,0
2025-04-21,27.313725490196077,2,2,0,0
2025-04-22,0.060000000000000005,2,1,0,0
2025-04-28,-0.08666666666666667,1,1,0,0
2025-04-29,-0.32,1,1,0,0
2025-05-02,-0.29,1,1,0,0
2025-05-06,-1.0294117647058822,1,1,0,0
2025-05-08,-0.9411764705882353,1,1,0,0
2025-05-13,0.006666666666666667,1,1,0,0
2025-05-16,0.39,2,1,0,0
2025-05-19,-1.0588235294117645,1,1,0,0
2025-05-21,0.21333333333333335,1,1,0,0
2025-05-22,-1.088235294117647,1,1,0,0
2025-05-26,0.0,1,1,0,0
2025-05-27,0.16999999999999998,2,1,0,0
2025-06-02,0.0,1,1,0,0
2025-06-03,0.33999999999999997,2,1,0,0
2025-06-04,-0.7125490196078431,2,2,0,0
2025-06-16,-0.9215686274509803,2,2,0,0
2025-06-17,-0.7647058823529411,1,1,0,0
2025-06-23,-0.9023529411764705,2,2,0,0
2025-06-25,-0.02,1,1,0,0
2025-06-27,0.9099999999999999,3,1,0,0
2025-07-01,0.8200000000000001,2,1,0,0
2025-07-09,0.0,1,1,0,0
2025-07-10,-1.2647058823529411,2,1,0,0
2025-07-21,-0.03333333333333333,1,1,0,0
2025-08-05,-0.5588235294117647,1,1,0,0
2025-08-07,-0.7058823529411764,1,1,0,0
2025-08-08,-0.9117647058823529,1,1,0,0
2025-08-12,0.01,1,1,0,0
2025-08-19,-0.15,2,2,0,0
2025-08-20,-0.013333333333333334,1,1,0,0
2025-08-21,-0.5,1,1,0,0
2025-08-22,0.02,1,1,0,0
2025-08-25,-0.32352941176470584,1,1,0,0
2025-08-26,-0.3694117647058822,2,2,0,0
2025-08-27,-0.006666666666666667,1,1,0,0
2025-09-01,10.705882352941176,1,1,0,0
2025-09-03,-0.02666666666666667,1,1,0,0
2025-09-09,14.192941176470589,3,2,0,0
2025-09-10,0.0,1,1,0,0
2025-09-22,10.38235294117647,2,2,0,0
2025-09-23,-0.9041176470588235,3,3,1,1
2025-09-30,-0.6470588235294117,1,1,0,0
2025-10-03,0.41000000000000003,2,1,0,0
2025-10-13,18.5,1,1,0,0
2025-10-14,0.547058823529412,4,3,1,3
2025-10-20,0.0,1,1,0,0
2025-10-21,-1.082941176470588,2,2,1,1
2025-10-22,0.12,1,1,0,0
2025-10-24,-0.16,1,1,0,0
2025-11-03,-1.9494117647058822,3,2,0,0
2025-11-04,0.1,1,1,1,1
2025-11-06,-0.6470588235294117,1,1,1,2
2025-11-11,0.28,2,1,0,0
2025-11-12,0.13999999999999999,1,1,0,0
2025-11-13,16.823529411764703,2,1,1,1
2025-11-14,0.01,1,1,1,1
2025-11-21,0.44999999999999996,2,1,1,2
2025-11-25,0.01,2,2,0,0
2025-11-26,1.28,2,1,0,0
2025-11-28,0.03,1,1,0,0
2025-12-02,-0.24,1,1,1,1
2025-12-03,0.0,1,1,1,1
2025-12-05,-0.14,1,1,0,0
2025-12-08,3.8235294117647056,1,1,0,0
2025-12-09,-0.6064705882352941,2,2,0,0
2025-12-10,-0.823529411764706,2,2,1,1
2025-12-17,-0.013333333333333334,1,1,0,0
2025-12-21,12.52941176470588,1,1,0,0
2025-12-23,0.03,1,1,0,0
2025-12-24,-0.9227450980392156,2,2,0,0
2026-01-05,-0.823529411764706,1,1,0,0
2026-01-06,0.74,3,1,0,0
2026-01-09,0.01,1,1,0,0
2026-01-18,15.264705882352942,1,1,0,0
2026-01-20,10.240588235294117,2,2,0,0
2026-01-22,-0.7647058823529411,1,1,0,0
2026-01-25,15.352941176470587,1,1,0,0
2026-01-26,-2.5588235294117645,2,1,0,0
2026-01-27,-1.4050980392156862,2,2,0,0
2026-01-28,26.08823529411764,1,1,0,0
2026-01-29,-5.735294117647058,2,1,1,1
2026-02-06,0.01,1,1,0,0
2026-02-09,1.12,2,1,0,0
2026-02-10,0.22,1,1,0,0
2026-02-11,0.013333333333333334,1,1,0,0
2026-02-12,-1.9705882352941178,2,1,1,1
2026-02-13,0.01,1,1,1,1
2026-02-19,-0.9117647058823529,1,1,0,0
2026-02-23,0.0,1,1,0,0
2026-02-25,0.0,1,1,0,0
2026-03-01,22.14705882352941,1,1,0,0
2026-03-03,-1.852941176470588,2,2,1,1
2026-03-09,0.15333333333333335,1,1,1,1
2026-03-10,0.1366666666666667,2,2,0,0
2026-03-12,-0.7058823529411764,1,1,0,0
2026-03-16,0.14666666666666667,1,1,0,0
2026-03-24,-0.38,1,1,0,0
2026-03-30,-1.8823529411764706,1,1,0,0
2026-03-31,0.0,1,1,0,0
2026-04-05,-2.117647058823529,1,1,0,0
2026-04-06,-1.3823529411764703,1,1,0,0
2026-04-13,0.08666666666666667,1,1,0,0
2026-04-15,0.12,1,1,0,0
2026-04-17,0.41000000000000003,2,1,0,0
2026-04-20,10.852941176470587,1,1,0,0
